Month,east_north_central_naturalgas,east_south_central_naturalgas,middle_atlantic_naturalgas,mountain_naturalgas,new_england_naturalgas,pacific_naturalgas,south_atlantic_naturalgas,west_north_central_naturalgas,west_south_central_naturalgas
1,1.420206005,1.242105263,1.679808841,1.312977099,2.111989615,1.289405685,1.417019009,1.370619946,1.313807531
2,1.201884725,1.087719298,1.3739546,1.663782867,1.7705924,1.22997416,1.118635637,1.601752022,1.154811715
3,1.324085032,1.080701754,1.266427718,2.686174724,1.184721894,1.170542636,1.140293886,1.342318059,1.150627615
4,1.058075827,1.154385965,0.945041816,0.797285835,0.961883408,0.84754522,1.021993249,0.931940701,1.016736402
5,1.040192856,0.98245614,0.912783751,0.929601357,0.666351979,0.744186047,1.01716113,0.928571429,0.991631799
6,0.965680473,0.971929825,0.873357228,0.713146735,0.671544332,0.785529716,0.921985636,0.841644205,0.907949791
7,0.948791,0.915789474,0.869772999,0.714503817,0.782314531,0.873385013,0.913874578,0.889487871,0.907949791
8,0.900357952,0.877192982,0.807646356,0.714164546,0.66289041,0.837209302,0.869781489,0.772911051,0.891213389
9,0.930162905,0.926315789,0.787335723,0.787107718,0.649044135,0.904392765,0.922330787,0.894204852,1
10,0.798524363,0.968421053,0.735961768,0.843935539,0.579812761,0.837209302,0.830520519,0.878706199,0.962343096
11,1.025787128,0.964912281,0.994026284,0.944868533,1.046259146,0.917312661,1.022597264,1.028189578,1.09623431
12,0.902841698,0.964912281,0.995221027,1.070398643,1.422704744,1.033591731,1.011724996,1.117250674,0.882845188